sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
2.0,45-54,3.0,3.0,3.0,1.9,9.25,1.0,7.0,3.25,4.0,3.0,5.0,6.2,7.0,1.0,1.0,6.2,4.75,5.125,7.0,7.75,8.2,5.5,8.5,10.0,6.3999999999999995,10.0,1.0,10.0,10.0,4.666666666666667,1.0,8.8,1.0,1.0,7.75,1.0,4.375,1.0,2.125,4.0,1.0,,1.2999999999999998,7.0,7.0,5.0,6.0,6.6,1.0,10.0,5.5,,7.375,1.0,1.0,1.0,7.0,9.25
2.0,35-44,5.0,3.0,8.0,1.9,8.5,1.0,10.0,3.25,1.0,2.0,4.0,6.799999999999999,4.0,1.0,3.25,7.8,2.5,7.300000000000001,4.0,7.75,8.2,1.0,9.25,5.5,8.2,10.0,1.0,10.0,8.2,6.666666666666667,1.0,7.6000000000000005,3.25,5.5,6.25,1.0,6.625,1.0,8.875,4.0,1.0,,2.125,10.0,6.538461538461538,6.5,7.0,7.4,1.0,10.0,1.0,8.5,4.75,1.0,1.0,4.75,2.5,5.5
2.0,19-24,3.0,3.0,4.0,5.5,4.75,1.0,4.0,5.5,4.0,2.6,4.0,3.1818181818181817,2.7142857142857144,1.0,1.0,7.2,4.0,7.8999999999999995,7.0,3.25,8.2,10.0,8.0,10.0,8.2,10.0,1.0,10.0,10.0,9.333333333333334,1.0,8.8,4.375,3.25,7.0,2.125,4.375,2.125,6.625,4.0,1.0,,1.5999999999999999,7.0,7.923076923076923,3.0,8.333333333333334,9.0,10.0,10.0,1.0,7.0,7.0,1.3333333333333333,7.0,9.25,7.0,4.75
2.0,65+,2.0,3.0,5.0,2.8,8.5,8.0,7.0,5.5,4.0,1.0,2.5,5.5,4.0,1.0,3.25,5.6,1.5,4.6000000000000005,5.0,7.75,2.8,1.0,7.0,10.0,4.6,8.5,1.0,10.0,8.2,8.666666666666666,4.6,7.0,7.75,3.25,7.0,1.0,8.875,3.25,5.5,4.0,1.0,,2.8000000000000003,10.0,4.692307692307692,8.5,6.666666666666667,6.799999999999999,1.0,10.0,1.0,,7.75,1.0,3.25,4.0,1.0,7.75
1.0,65+,2.0,3.0,5.0,8.2,7.75,1.0,4.0,7.75,4.0,1.6,4.0,5.4,5.875,1.0,3.25,6.6,4.5,7.8999999999999995,5.0,5.5,8.2,1.0,7.0,10.0,4.6,7.0,1.0,8.2,8.2,4.333333333333333,4.6,5.8,3.25,5.5,7.75,3.25,7.75,5.5,6.625,10.0,1.0,,5.5,7.0,4.692307692307692,3.0,7.0,4.6,,,5.5,,6.25,1.3333333333333333,1.75,3.25,1.0,4.0
2.0,45-54,5.0,2.0,1.0,2.8,9.25,1.9999999999999998,10.0,3.25,4.0,1.0,5.999999999999999,7.200000000000001,5.125,1.0,3.25,8.2,4.0,6.333333333333333,5.0,7.75,1.0,10.0,8.5,10.0,8.2,8.5,1.0,10.0,8.2,8.0,2.8,7.0,7.75,7.75,6.25,4.375,2.125,1.0,2.125,1.0,1.0,,2.2,10.0,7.923076923076923,1.0,9.666666666666666,7.8,10.0,10.0,5.5,7.0,5.875,1.0,1.0,4.75,1.0,6.25
2.0,25-34,3.0,2.0,4.0,,8.5,3.0,7.0,5.5,4.0,1.0,5.0,7.214285714285715,2.5,1.0,1.0,6.4,3.75,6.666666666666667,1.0,7.75,10.0,1.0,9.25,5.5,4.6,7.0,1.0,10.0,10.0,8.333333333333334,1.0,5.8,6.625,1.0,5.5,2.125,5.5,2.5,3.25,7.0,1.0,,1.5999999999999999,7.0,4.692307692307692,1.0,8.333333333333334,8.0,1.0,10.0,,1.0,3.625,1.0,1.0,1.0,7.0,4.375
2.0,55-64,5.0,2.0,5.999999999999999,4.6,7.75,5.0,7.0,3.25,4.0,2.2,4.0,7.428571428571429,5.5,1.0,3.25,6.0,5.0,8.125,3.0,7.75,2.8,1.0,6.25,10.0,6.3999999999999995,7.0,1.0,10.0,8.2,6.666666666666667,1.0,8.2,1.0,1.0,7.75,1.0,4.375,3.25,3.25,1.0,1.0,,1.9000000000000001,7.0,7.461538461538462,7.5,3.0,6.4,1.0,10.0,10.0,1.0,5.125,1.0,1.0,4.0,1.0,5.5
2.0,65+,,2.0,3.0,4.6,7.0,1.0,4.0,7.75,4.0,2.6,5.0,5.999999999999999,5.125,1.0,1.0,7.8,5.0,4.8999999999999995,1.0,7.75,8.2,1.0,7.0,10.0,6.3999999999999995,10.0,1.0,10.0,8.2,5.0,2.8,8.2,2.125,1.0,8.5,1.0,5.5,3.25,4.375,10.0,1.0,,3.0999999999999996,5.5,7.0,3.0,7.333333333333334,4.4,1.0,10.0,5.5,,5.875,1.0,1.75,1.75,4.0,7.75
2.0,65+,2.0,2.0,7.0,3.6999999999999997,10.0,1.0,7.0,5.5,1.0,1.0,3.0,4.0,4.428571428571429,1.0,3.25,6.799999999999999,5.75,8.125,8.0,10.0,8.2,1.0,8.5,10.0,8.2,8.5,1.0,10.0,8.2,6.0,6.3999999999999995,9.399999999999999,2.125,1.0,7.0,2.125,3.25,1.0,3.25,7.0,1.0,,3.4,10.0,1.9230769230769231,3.0,7.666666666666667,6.2,1.0,10.0,10.0,,7.0,1.0,1.75,2.5,1.0,7.75
