,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
acceptance_of_state_surveillance|WVS_H,0.0,-0.0013,-0.0021,,-0.0079,0.0012,0.0005,0.0067,0.005,-0.0062,-0.0043,,-0.0086,0.0006,-0.0029,0.0063,,0.0055,-0.0005,,-0.0097,0.0021,-0.0027,,0.0008,-0.0115,-0.0014,-0.0017,0.0014,,0.0065,0.0024,0.0028,,0.0034,0.0067,-0.01,0.0015,,-0.001,0.0023,-0.0083,0.0011,,,-0.0021,-0.0054,-0.0021,,-0.0015,0.0023,,,-0.0115,-0.0031
authoritarian_governance_tolerance|WVS_E,-0.0013,0.0,,0.0047,0.0029,0.0054,-0.0054,-0.0033,,,,0.0024,,,,,-0.0051,-0.0079,0.0006,0.0015,0.0083,0.0003,0.0035,0.0058,,0.0033,0.0003,-0.0022,0.0012,0.0006,,,0.0047,,0.0003,-0.0007,,,0.0051,-0.0098,0.0073,-0.0034,-0.0162,,,-0.006,-0.0015,,0.0003,0.0033,-0.0019,,,,0.0
autocracy_support|WVS_E,-0.0021,,0.0,0.008,0.0096,-0.0013,-0.0071,0.0027,,,,0.0064,,,,,-0.0075,-0.007,-0.0004,0.0123,0.0059,-0.0067,-0.0023,-0.0008,,0.0046,0.0027,0.002,-0.0001,-0.0068,,,0.0062,,0.0041,-0.0035,,,0.0069,-0.0093,0.0003,-0.008,-0.0092,,,-0.0054,-0.0076,,-0.0036,-0.0025,0.0013,,,,0.0028
basic_needs_deprivation|WVS_H,,0.0047,0.008,0.0,0.0047,0.003,-0.0074,0.004,0.0028,-0.0094,0.0083,,-0.0042,0.0118,0.0046,0.0101,,0.0009,-0.0007,,0.0097,-0.0126,-0.0017,,-0.0014,0.0067,0.0022,-0.004,0.0062,,-0.0036,0.0009,0.0051,,0.0013,0.0068,-0.0006,-0.0167,,-0.0173,0.0127,-0.0191,-0.0265,,,-0.0142,-0.0059,-0.0151,,-0.0028,0.0011,,,-0.0228,0.003
child_qualities_autonomy_self_expression|WVS_A,-0.0079,0.0029,0.0096,0.0047,0.0,,,-0.0032,0.002,0.0067,0.0055,0.012,0.0139,0.0138,0.0048,-0.002,-0.0071,-0.0133,-0.0003,0.019,0.0115,-0.0076,,0.006,-0.0053,0.0128,0.0042,0.007,-0.0043,-0.0086,-0.0036,0.0014,0.0018,,0.0014,-0.0148,0.0273,-0.01,0.0115,-0.0034,-0.01,0.0038,-0.0009,,,0.0023,,-0.013,-0.0085,,-0.0001,,,0.0144,0.0056
child_qualities_conformity_tradition|WVS_A,0.0012,0.0054,-0.0013,0.003,,0.0,,-0.005,-0.0027,-0.005,0.0014,-0.0055,-0.0011,-0.0054,-0.001,0.0062,-0.0032,-0.0024,0.0011,-0.007,0.0094,0.0035,,0.0075,0.007,0.0009,-0.0018,-0.0081,0.0046,0.0067,0.0047,0.003,0.0021,,-0.0033,0.0087,-0.0091,0.0002,0.0,-0.0095,0.0152,-0.0022,-0.0215,,,-0.0076,,0.0111,0.0036,,-0.0034,,,-0.0391,-0.0024
child_qualities_prosocial_diligence|WVS_A,0.0005,-0.0054,-0.0071,-0.0074,,,0.0,-0.0028,-0.0089,0.0042,-0.0011,-0.0056,-0.0034,-0.0152,-0.0003,-0.0136,0.0065,0.0102,0.0002,-0.0061,-0.0048,0.0023,,-0.002,-0.0001,0.0008,-0.0016,-0.0005,-0.0001,0.004,-0.0088,-0.0092,-0.0088,,-0.0052,0.0028,-0.0106,0.0099,-0.0062,0.013,-0.0034,0.0088,0.0143,,,0.0076,,0.0103,-0.0001,,-0.0006,,,0.0351,-0.0003
civic_dishonesty_tolerance|WVS_F,0.0067,-0.0033,0.0027,0.004,-0.0032,-0.005,-0.0028,0.0,0.0127,-0.0106,-0.0036,-0.0003,-0.0105,0.0123,-0.0015,0.0124,-0.0003,0.0083,-0.0019,0.0043,-0.0166,-0.0047,-0.0096,-0.0162,-0.0051,-0.0131,0.0006,,0.0007,-0.0079,0.0053,0.0033,0.0064,,0.0091,0.0046,-0.0045,-0.0065,-0.0044,,,,,,,,-0.0167,-0.02,0.0023,-0.0094,,,,-0.0069,-0.0008
confidence_in_civil_society_organizations|WVS_E,0.005,,,0.0028,0.002,-0.0027,-0.0089,0.0127,0.0,,,0.0079,,,,,0.0003,-0.0091,-0.001,-0.002,-0.0136,0.0028,-0.0055,-0.0062,,-0.0173,0.0008,0.0045,-0.0033,-0.0064,,,0.0151,,0.0142,-0.006,,,0.0046,-0.0085,-0.0052,-0.0132,0.0007,,,-0.0042,-0.0213,,0.0065,-0.004,0.0051,,,,-0.0036
confidence_in_domestic_institutions|WVS_E,-0.0062,,,-0.0094,0.0067,-0.005,0.0042,-0.0106,,0.0,,0.0063,,,,,0.0043,-0.008,0.001,-0.0034,0.005,0.005,0.0033,0.0112,,0.0081,0.0003,0.0052,-0.0059,0.002,,,-0.0071,,-0.0046,-0.0134,,,0.0047,0.0133,-0.0116,0.0212,0.0185,,,0.012,0.0113,,-0.003,0.0026,-0.0027,,,,0.0016
